,Body type,Kilometers driven,Transmission type,Number of Owners,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Steering Type,Top Speed,Cargo Volumn,City
21,2,0.003287818181818182,1,0.2,0.8157894736842053,0.013544869352072459,4,0,0.375,0.2394,0.1151068311766476,1,170.0,6.205574319412075e-05,0
22,7,0.005454545454545455,1,0.2,0.9210526315789451,0.025791782846601694,4,5,0.375,0.29960000000000003,0.07026783027384895,4,170.0,0.00011580276763421697,0
23,2,0.01047890909090909,1,0.4,0.8157894736842053,0.010531357173300504,4,0,0.375,0.2398,0.12609088173337346,4,150.0,5.5304909206475805e-05,0
24,8,0.009090909090909092,0,0.4,0.8157894736842053,0.11764363405557095,4,5,0.375,0.9326000000000001,0.0054920252783629275,4,250.0,0.00013008337799269663,0
25,8,0.02,1,0.2,0.7894736842105203,0.01277341023430684,4,5,0.375,0.2994,0.07764068612699368,4,195.0,0.0001248904287714313,0
26,2,0.004263090909090909,0,0.2,0.8684210526315752,0.013255572182910354,4,0,0.375,0.2172,0.09945832079446285,4,170.0,5.348737697903294e-05,0
27,2,0.005454545454545455,1,0.4,0.6315789473684177,0.004817738082348874,3,5,0.375,0.2172,0.04792356304544087,4,170.0,0.0024705455920169825,0
28,8,0.006,0,0.2,0.8421052631578902,0.09944202049578835,4,0,0.375,0.3982,0.05958471260908819,1,236.0,0.0001326798526033293,0
29,7,0.015939454545454545,1,0.4,0.7631578947368425,0.020271028535091468,1,4,0.625,0.4358,0.06033704483900091,4,175.0,0.0024705455920169825,0
30,8,0.007272727272727274,0,0.4,0.8157894736842053,0.04254691056057378,1,5,0.375,0.3936,0.07545892266024676,4,222.0,0.0001171010049395333,0
31,7,0.014365818181818183,1,0.4,0.7631578947368425,0.018872758884141277,1,0,0.625,0.4358,0.06033704483900091,4,175.0,0.0024705455920169825,0
32,7,0.005698909090909091,1,0.2,0.9473684210526301,0.061351226556110784,1,0,0.375,0.3912,0.07538368943725551,4,170.0,0.0024705455920169825,0
33,8,0.009090909090909092,1,0.2,0.8684210526315752,0.01576281431564862,4,5,0.375,0.2394,0.09825458922660249,4,172.0,9.814674028191482e-05,0
34,2,0.0022607272727272728,1,0.2,0.7894736842105203,0.007927682650841532,4,0,0.375,0.1996,0.10103821847727959,4,152.0,3.920676662055328e-05,0
35,4,0.01090909090909091,1,0.4,0.8947368421052602,0.024827458949394667,4,5,0.625,0.2924,0.09223593138730063,4,170.0,4.6736542991388006e-05,0
36,8,0.002181818181818182,0,0.2,0.8947368421052602,0.1061922877762375,1,0,0.375,0.39,0.041528739091182675,4,240.0,0.0001171010049395333,0
37,2,0.007452181818181819,1,0.4,0.7894736842105203,0.009301844204361545,4,0,0.375,0.1996,0.10103821847727959,4,152.0,3.920676662055328e-05,0
38,8,0.0033012727272727273,0,0.2,0.9210526315789451,0.11921066038853236,4,6,0.375,0.3996,0.06379777309659948,4,250.0,0.00012748690338206396,0
39,7,0.02181818181818182,1,0.6000000000000001,0.6842105263157876,0.02603286382090345,1,5,0.625,0.5964,0.03325308456214265,4,176.0,0.0024705455920169825,0
40,7,0.007272727272727274,0,0.4,0.9210526315789451,0.02603286382090345,1,5,0.375,0.2922,0.09622329220583811,4,170.0,0.00011580276763421697,0
41,2,0.01630309090909091,1,0.2,0.8157894736842053,0.013834166521234568,4,0,0.375,0.2394,0.08666867288594646,4,170.0,6.906622464282895e-05,0
42,2,0.02181818181818182,1,0.2,0.8421052631578902,0.016630705823134945,1,5,0.375,0.2792,0.11631056274450799,4,180.0,6.906622464282895e-05,0
43,2,0.01036309090909091,1,0.2,0.8421052631578902,0.01619676006939178,4,6,0.375,0.2394,0.10773397532350285,4,180.0,8.04907129296127e-05,0
44,8,0.02181818181818182,1,0.2,0.7368421052631575,0.015184219977324404,4,5,0.375,0.3594,0.06936503159795368,4,191.0,0.0001015221572757373,0
45,8,0.010727272727272728,0,0.2,0.7894736842105203,0.04989988027677735,1,5,0.375,0.3936,0.08614204032500755,4,232.0,0.00013008337799269663,0
46,2,0.003424545454545455,1,0.2,0.9473684210526301,0.009422384691512426,4,6,0.375,0.1592,0.11262413481793562,4,170.0,0.0024705455920169825,0
47,7,0.02181818181818182,1,0.4,0.6578947368421026,0.015184219977324404,1,5,0.625,0.4358,0.03739091182666266,4,170.0,0.0024705455920169825,0
48,2,0.007272727272727274,0,0.2,0.8157894736842053,0.08811121470360576,4,0,0.25,0.3996,0.07711405356605477,1,233.0,4.725583791351454e-05,0
49,2,0.011078545454545456,1,0.2,0.8947368421052602,0.014219896080117377,4,0,0.375,0.2398,0.12609088173337346,4,150.0,5.5304909206475805e-05,0
50,7,0.006098,0,0.4,0.9210526315789451,0.03989501984325445,4,0,0.375,0.2706,0.07086969605777912,1,170.0,0.00010489757426955976,0
51,2,0.012152181818181819,1,0.4,0.8684210526315752,0.012291248285703327,4,0,0.375,0.2398,0.12609088173337346,4,150.0,5.5304909206475805e-05,0
