,Body type,Kilometers driven,Transmission type,Number of Owners,Car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of doors,Cargo Volumn,City
1283,Hatchback,58000,Automatic,2,Hyundai Grand i10,2016,585000.0,Petrol,Comprehensive,5.0,1197.0,18.9,White,No,No,Power,165.0,5,256,bangalore
1284,SUV,113000,Automatic,2,Audi Q3,2014,1495000.0,Diesel,Third Party insurance,5.0,1968.0,15.73,Brown,Yes,No,Power,212.0,5,460,bangalore
1285,SUV,170402,Automatic,2,Volvo XC 90,2010,1090000.0,Diesel,Comprehensive,7.0,2400.0,11.1,White,Yes,No,Power,205.0,5,9544,bangalore
1286,Sedan,30000,Automatic,2,Audi A4,2016,2100000.0,Diesel,Comprehensive,5.0,1968.0,18.25,White,Yes,No,Power,237.0,4,480,bangalore
1287,Sedan,59000,Manual,1,Maruti Swift Dzire,2014,590000.0,Petrol,Comprehensive,5.0,1197.0,19.1,Silver,No,No,Power,169.0,4,320,bangalore
1288,SUV,25883,Manual,1,Mahindra XUV500,2021,1899000.0,Diesel,Comprehensive,7.0,2179.0,15.1,White,Yes,No,Power,170.0,5,9544,bangalore
1289,SUV,32746,Manual,1,Volkswagen Taigun,2021,1545000.0,Petrol,Comprehensive,5.0,999.0,20.08,White,Yes,No,Electric,170.0,5,385,bangalore
1290,Sedan,35038,Automatic,1,Skoda Octavia,2017,1895000.0,Petrol,Comprehensive,5.0,1798.0,14.7,White,Yes,No,Power,220.0,4,590,bangalore
1291,Hatchback,38995,Manual,3,Ford Freestyle,2018,540000.0,Petrol,Comprehensive,5.0,1194.0,19.0,Yellow,No,No,Power,144.93,5,257,bangalore
1292,Hatchback,61102,Manual,1,Maruti Swift,2013,491000.0,Petrol,Comprehensive,5.0,1197.0,22.38,Red,No,No,Electric,170.0,5,268,bangalore
1293,SUV,132000,Manual,2,Skoda Yeti,2012,625000.0,Diesel,Comprehensive,5.0,1968.0,17.67,Silver,Yes,No,Power,170.0,5,416,bangalore
1294,Hatchback,52288,Manual,1,Maruti S-Presso,2021,436000.00000000006,Petrol,Third Party insurance,5.0,998.0,21.7,Others,No,No,Power,170.0,5,9544,bangalore
1295,Hatchback,69054,Automatic,1,Honda Jazz,2017,616000.0,Petrol,Comprehensive,5.0,1199.0,19.0,Brown,No,No,Power,172.0,5,354,bangalore
1296,SUV,67000,Manual,1,Renault Duster,2015,675000.0,Petrol,Comprehensive,5.0,1598.0,13.24,Silver,No,No,Power,170.0,5,475,bangalore
1297,Sedan,51745,Manual,2,Maruti Swift Dzire,2015,533000.0,Diesel,Comprehensive,5.0,1248.0,26.59,Black,Yes,No,Power,169.0,4,320,bangalore
1298,Convertibles,22000,Automatic,1,Audi A3 cabriolet,2015,3495000.0000000005,Petrol,Comprehensive,4.0,1798.0,16.6,Red,Yes,No,Power,240.0,2,320,bangalore
1299,Hatchback,11268,Manual,2,Hyundai Grand i10,2017,626000.0,Petrol,Comprehensive,5.0,1197.0,18.9,Silver,No,No,Power,165.0,5,256,bangalore
1300,Hatchback,24357,Manual,1,Tata Tiago,2020,632000.0,Petrol,Zero Dep,5.0,1199.0,20.09,Red,No,No,Electric,170.0,5,9544,bangalore
1301,MUV,157000,Manual,2,Toyota Innova Crysta,2016,1775000.0,Diesel,Comprehensive,8.0,2393.0,13.68,White,Yes,No,Power,170.0,5,9544,bangalore
1302,Sedan,9982,Manual,1,Honda City,2018,1000000.0,Petrol,Comprehensive,5.0,1497.0,17.0,Golden Brown,No,No,Power,170.0,4,506,bangalore
1303,Sedan,22000,Automatic,1,Audi A3,2020,2875000.0,Diesel,Comprehensive,5.0,1968.0,20.38,Red,Yes,No,Power,215.0,4,425,bangalore
1304,SUV,27000,Manual,1,Hyundai Venue,2020,1085000.0,Petrol,Comprehensive,5.0,998.0,18.0,Blue,Yes,No,Electric,170.0,5,350,bangalore
1305,Sedan,68000,Automatic,2,BMW 3 Series,2017,2275000.0,Diesel,Comprehensive,5.0,1995.0,22.69,White,Yes,No,Power,250.0,4,480,bangalore
1306,SUV,19000,Automatic,1,Hyundai Venue,2022,1365000.0,Petrol,Comprehensive,5.0,998.0,18.15,White,Yes,No,Electric,170.0,5,350,bangalore
1307,SUV,41000,Automatic,2,BMW X1,2012,1550000.0,Diesel,Third Party insurance,5.0,1995.0,17.05,Brown,Yes,No,Power,205.0,5,420,bangalore
1308,SUV,49000,Automatic,1,BMW X1,2018,3025000.0,Diesel,Comprehensive,5.0,1995.0,20.68,Blue,Yes,No,Power,222.0,5,505,bangalore
1309,Sedan,45000,Automatic,2,BMW 5 Series,2018,4275000.0,Diesel,Comprehensive,5.0,1995.0,20.37,Black,Twin,No,Power,235.0,4,520,bangalore
1310,SUV,75000,Automatic,2,BMW X5,2016,4450000.0,Diesel,Comprehensive,5.0,2993.0,11.7,White,Yes,No,Power,222.0,5,9544,bangalore
1311,Hatchback,39613,Manual,1,Maruti Celerio,2015,483000.0,Petrol,Third Party,5.0,998.0,25.24,Red,No,No,Electric,170.0,5,313,bangalore
1312,Sedan,68906,Automatic,2,Honda City,2018,1007000.0,Petrol,Third Party insurance,5.0,1497.0,18.0,White,No,No,Power,178.55,4,510,bangalore
1313,SUV,33000,Automatic,1,Renault Duster,2019,995000.0,Petrol,Comprehensive,5.0,1498.0,13.9,White,No,No,Power,170.0,5,475,bangalore
